Name	ShortName	Time (%)	Total Time (ns)	Instances	Avg (ns)
inplace_fnwt_radix8_phase2(unsigned long *, const unsigned long *, const unsigned long *, const DModulus *, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)	inplace_fnwt_radix8_phase2	22.8	1453004145	49280	29484.7
inplace_fnwt_radix8_phase1(unsigned long *, const unsigned long *, const unsigned long *, const DModulus *, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)	inplace_fnwt_radix8_phase1	21.1	1341517403	49280	27222.3
add_rns_poly(const unsigned long *, const unsigned long *, const DModulus *, unsigned long *, unsigned long, unsigned long)	add_rns_poly	20.5	1305292340	98176	13295.4
multiply_rns_poly(const unsigned long *, const unsigned long *, const DModulus *, unsigned long *, unsigned long, unsigned long)	multiply_rns_poly	20.5	1303505192	98304	13259.9
phantom::arith::decompose_array_uint64(unsigned long *, const double2 *, const DModulus *, unsigned int, unsigned int, unsigned int)	phantom::arith::decompose_array_uint64	11.7	745606688	49152	15169.4
<unnamed>::ckks_scale_complex_by_real_kernel(const double2 *, double2 *, unsigned int, double)	<unnamed>::ckks_scale_complex_by_real_kernel	3.2	203034744	49152	4130.8
inplace_inwt_radix8_phase1(unsigned long *, const unsigned long *, const unsigned long *, const DModulus *, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)	inplace_inwt_radix8_phase1	0.0	2673630	128	20887.7
inplace_inwt_radix8_phase2(unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, const DModulus *, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)	inplace_inwt_radix8_phase2	0.0	2343867	128	18311.5
phantom::divide_and_round_ntt_inv_scalar_kernel(unsigned long *, const unsigned long *, const DModulus *, const unsigned long *, const unsigned long *, unsigned long, unsigned long)	phantom::divide_and_round_ntt_inv_scalar_kernel	0.0	1866233	128	14579.9
phantom::divide_and_round_reduce_q_last_kernel(unsigned long *, const unsigned long *, const DModulus *, unsigned long, unsigned long)	phantom::divide_and_round_reduce_q_last_kernel	0.0	1524853	128	11912.9
inplace_special_ifft_base_kernel(double2 *, const double2 *, const unsigned int *, unsigned int, unsigned int, unsigned int, int, unsigned int, unsigned int, double)	inplace_special_ifft_base_kernel	0.0	93633	1	93633.0
inplace_special_ifft_iter_kernel(double2 *, const double2 *, const unsigned int *, unsigned int, unsigned int, unsigned int, int, unsigned int, unsigned int, double)	inplace_special_ifft_iter_kernel	0.0	34337	4	8584.3
<unnamed>::ckks_fill_unit_real_kernel(double2 *, unsigned int)	<unnamed>::ckks_fill_unit_real_kernel	0.0	2432	1	2432.0
