Generating SQLite file /home/jyg/projects/MOAI_GPU/output/ct_pt/ct_pt_micro_run1.sqlite from /home/jyg/projects/MOAI_GPU/output/ct_pt/ct_pt_micro_run1.nsys-rep
Processing [/home/jyg/projects/MOAI_GPU/output/ct_pt/ct_pt_micro_run1.sqlite] with [/usr/local/cuda-12.8/nsight-systems-2024.6.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%)	Total Time (ns)	Instances	Avg (ns)	Med (ns)	Min (ns)	Max (ns)	StdDev (ns)	Name
22.3	1580380608	53890	29326.0	29185.0	21569	47840	1591.9	inplace_fnwt_radix8_phase2(unsigned long *, const unsigned long *, const unsigned long *, const DModulus *, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)
20.5	1456560113	53890	27028.4	26849.0	22592	39680	1609.8	inplace_fnwt_radix8_phase1(unsigned long *, const unsigned long *, const unsigned long *, const DModulus *, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)
18.5	1314369219	98944	13284.0	13025.0	11616	30560	890.9	add_rns_poly(const unsigned long *, const unsigned long *, const DModulus *, unsigned long *, unsigned long, unsigned long)
18.4	1303505192	98304	13259.9	12705.0	11680	27200	1367.9	multiply_rns_poly(const unsigned long *, const unsigned long *, const DModulus *, unsigned long *, unsigned long, unsigned long)
10.7	756310511	49920	15150.5	15360.0	12192	37569	999.7	phantom::arith::decompose_array_uint64(unsigned long *, const double2 *, const DModulus *, unsigned int, unsigned int, unsigned int)
2.9	203034744	49152	4130.8	4032.0	2656	14432	881.3	<unnamed>::ckks_scale_complex_by_real_kernel(const double2 *, double2 *, unsigned int, double)
2.1	148759087	1537	96785.4	95841.0	94177	104449	2513.6	sample_error_poly(unsigned long *, const unsigned char *, const DModulus *, unsigned long, unsigned long)
1.0	74172727	769	96453.5	95618.0	93985	104193	2318.3	sample_ternary_poly(unsigned long *, const unsigned char *, const DModulus *, unsigned long, unsigned long)
1.0	72156674	769	93831.8	92385.0	91649	102945	2768.0	inplace_special_ifft_base_kernel(double2 *, const double2 *, const unsigned int *, unsigned int, unsigned int, unsigned int, int, unsigned int, unsigned int, double)
0.6	44603445	64	696928.8	696969.0	687336	708040	5081.9	phantom::arith::compose_kernel_step1(double2 *, unsigned long *, unsigned long *, const unsigned long *, unsigned int, const DModulus *, const unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, double, unsigned int, unsigned int, unsigned int)
0.4	26014663	3076	8457.3	7808.0	7584	11360	1099.5	inplace_special_ifft_iter_kernel(double2 *, const double2 *, const unsigned int *, unsigned int, unsigned int, unsigned int, int, unsigned int, unsigned int, double)
0.3	22970345	1600	14356.5	14272.0	13120	23456	680.6	multiply_and_add_rns_poly(const unsigned long *, const unsigned long *, const unsigned long *, const DModulus *, unsigned long *, unsigned long, unsigned long)
0.3	20514183	1536	13355.6	13280.0	12288	15040	582.7	bconv_matmul_unroll2_kernel(unsigned long *, const unsigned long *, const unsigned long *, const DModulus *, unsigned long, const DModulus *, unsigned long, unsigned long)
0.3	18771904	1536	12221.3	12224.0	12096	12416	44.7	moddown_kernel(unsigned long *, const unsigned long *, const unsigned long *, const DModulus *, const unsigned long *, const unsigned long *, unsigned long, unsigned long)
0.2	13706958	1536	8923.8	8896.0	8704	10241	124.1	inplace_inwt_radix8_phase1_include_special_mod(unsigned long *, const unsigned long *, const unsigned long *, const DModulus *, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)
0.2	13655302	1536	8890.2	8833.0	8608	9600	174.4	inplace_inwt_radix8_phase2_include_special_mod(unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, const DModulus *, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)
0.1	4616599	1536	3005.6	3008.0	2912	3232	33.8	bconv_mult_unroll2_kernel(unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, const DModulus *, unsigned long, unsigned long)
0.1	4227537	192	22018.4	23328.0	12064	38752	5166.7	inplace_inwt_radix8_phase1(unsigned long *, const unsigned long *, const unsigned long *, const DModulus *, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)
0.1	4203472	64	65679.3	65089.0	64225	72289	1701.1	inplace_special_ffft_base_kernel(double2 *, const double2 *, const unsigned int *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)
0.1	3840304	192	20001.6	20416.5	12384	32448	3945.6	inplace_inwt_radix8_phase2(unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, const DModulus *, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)
0.0	2439575	64	38118.4	37840.5	37024	41120	1075.2	phantom::arith::compose_kernel_step2(double2 *, unsigned long *, unsigned long *, const unsigned long *, unsigned int, const DModulus *, const unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, double, unsigned int, unsigned int, unsigned int)
0.0	2334782	768	3040.1	3040.0	2944	3264	48.4	bit_reverse_and_zero_padding(double2 *, double2 *, unsigned long, unsigned int, unsigned int)
0.0	2164346	256	8454.5	8416.0	8160	9152	193.3	inplace_special_ffft_iter_kernel(double2 *, const double2 *, const unsigned int *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)
0.0	1866233	128	14579.9	13985.0	11456	30784	2864.7	phantom::divide_and_round_ntt_inv_scalar_kernel(unsigned long *, const unsigned long *, const DModulus *, const unsigned long *, const unsigned long *, unsigned long, unsigned long)
0.0	1524853	128	11912.9	11616.0	10720	17472	987.0	phantom::divide_and_round_reduce_q_last_kernel(unsigned long *, const unsigned long *, const DModulus *, unsigned long, unsigned long)
0.0	192002	64	3000.0	3008.0	2944	3104	33.3	bit_reverse(double2 *, double2 *, unsigned int, unsigned int)
0.0	36864	1	36864.0	36864.0	36864	36864	0.0	sample_uniform_poly(unsigned long *, const unsigned char *, const DModulus *, unsigned long, unsigned long)
0.0	14369	1	14369.0	14369.0	14369	14369	0.0	multiply_and_add_negate_rns_poly(const unsigned long *, const unsigned long *, const unsigned long *, const DModulus *, unsigned long *, unsigned long, unsigned long)
0.0	2432	1	2432.0	2432.0	2432	2432	0.0	<unnamed>::ckks_fill_unit_real_kernel(double2 *, unsigned int)

